season,선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI
2024,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118
2024,정준재,SSG,0.307,88,240,215,40,66,8,5,1,87,23
2024,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67
2024,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107
2024,추신수,SSG,0.281,78,302,253,40,71,14,1,5,102,37
2024,이지영,SSG,0.279,123,432,398,45,111,11,1,5,139,50
2024,박지환,SSG,0.276,76,249,228,33,63,9,2,4,88,21
2024,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49
2024,오태곤,SSG,0.275,117,288,247,43,68,16,0,9,111,36
2024,고명준,SSG,0.25,106,366,340,33,85,13,0,11,131,45
2024,하재훈,SSG,0.248,107,317,290,40,72,19,0,10,121,36
2024,조형우,SSG,0.242,19,38,33,4,8,0,0,0,8,4
2024,정현승,SSG,0.241,23,31,29,1,7,0,0,1,10,4
2024,최준우,SSG,0.24,18,34,25,2,6,2,0,0,8,5
2024,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87
2024,김성현,SSG,0.227,71,167,141,21,32,3,1,1,40,15
2024,신범수,SSG,0.222,11,29,27,4,6,3,0,0,9,2
2024,김민식,SSG,0.208,45,126,106,10,22,5,0,1,30,10
2024,강진성,SSG,0.185,16,31,27,4,5,0,0,0,5,2
2024,안상현,SSG,0.171,37,75,70,3,12,1,0,0,13,2
2024,최경모,SSG,0.171,50,50,35,12,6,0,0,0,6,0
2024,최상민,SSG,0.167,43,13,12,9,2,2,0,0,4,1
2024,전의산,SSG,0.088,34,63,57,3,5,0,0,1,8,3
2024,김찬형,SSG,0.0,5,9,9,0,0,0,0,0,0,0
2024,김창평,SSG,0.0,6,9,7,1,0,0,0,0,0,0
2024,류효승,SSG,0.0,1,2,2,0,0,0,0,0,0,0
2024,문승원,SSG,0.0,6,1,1,0,0,0,0,0,0,0
2024,박민호,SSG,,1,0,0,0,0,0,0,0,0,0
2024,이로운,SSG,,3,0,0,0,0,0,0,0,0,0
2024,조병현,SSG,,3,0,0,0,0,0,0,0,0,0
2024,채현우,SSG,,1,0,0,0,0,0,0,0,0,0
2024,최민창,SSG,0.0,7,3,3,2,0,0,0,0,0,0
2024,한두솔,SSG,,1,0,0,0,0,0,0,0,0,0
2024,현원회,SSG,0.0,1,1,1,0,0,0,0,0,0,0
