season,선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2024,박성빈,SSG,0.0,3,0,0,0,0,,2.33,1,0,0,1,2,0,0,0.43
2024,정동윤,SSG,0.0,3,0,0,0,0,,1.67,1,0,1,0,2,0,0,1.2
2024,노경은,SSG,2.9,77,8,5,0,38,0.615,83.67,71,10,32,4,71,30,27,1.23
2024,조병현,SSG,3.58,76,4,6,12,12,0.4,73.0,52,8,31,2,96,34,29,1.14
2024,이기순,SSG,3.66,10,1,1,0,0,0.5,19.67,12,2,23,1,24,10,8,1.78
2024,앤더슨,SSG,3.89,24,11,3,0,0,0.786,115.67,98,11,53,8,158,55,50,1.31
2024,엘리아스,SSG,4.08,22,7,7,0,0,0.5,123.67,126,13,30,6,104,59,56,1.26
2024,문승원,SSG,4.5,62,6,1,20,6,0.857,60.0,67,10,24,1,53,33,30,1.52
2024,박민호,SSG,4.76,19,2,0,0,0,1.0,22.67,25,4,7,2,10,14,12,1.41
2024,김광현,SSG,4.93,31,12,10,0,0,0.545,162.33,162,24,73,6,154,95,89,1.45
2024,한두솔,SSG,5.01,69,2,1,0,3,0.667,59.33,62,3,31,3,68,40,33,1.57
2024,오원석,SSG,5.03,29,6,9,0,1,0.4,121.67,122,17,65,13,112,72,68,1.54
2024,서진용,SSG,5.55,51,0,1,0,6,0.0,47.0,52,5,26,0,38,34,29,1.66
2024,송영진,SSG,5.8,26,5,10,0,0,0.333,99.33,112,10,51,1,67,74,64,1.64
2024,이로운,SSG,5.95,63,1,3,1,9,0.25,56.0,67,4,43,3,41,43,37,1.96
2024,박시후,SSG,6.75,11,0,0,0,0,,14.67,18,1,7,2,11,11,11,1.7
2024,장지훈,SSG,6.75,18,0,0,0,0,,21.33,29,3,10,1,10,16,16,1.83
2024,박종훈,SSG,6.94,10,1,4,0,0,0.2,35.0,37,7,21,8,34,28,27,1.66
2024,백승건,SSG,7.71,10,0,0,0,0,,9.33,13,2,9,0,5,9,8,2.36
2024,최민준,SSG,7.78,32,1,0,0,0,1.0,39.33,61,9,24,3,40,36,34,2.16
2024,고효준,SSG,8.18,26,2,1,0,5,0.667,22.0,23,4,20,1,27,21,20,1.95
2024,김택형,SSG,9.0,6,0,1,0,0,0.0,7.0,10,1,6,1,1,7,7,2.29
2024,이건욱,SSG,11.37,10,1,2,0,0,0.333,19.0,34,5,15,2,17,25,24,2.58
2024,더거,SSG,12.71,6,0,3,0,0,0.0,22.67,37,2,10,3,18,33,32,2.07
2024,신헌민,SSG,18.0,3,0,0,0,0,,3.0,7,2,3,1,0,7,6,3.33
2024,최현석,SSG,54.0,2,0,0,0,0,,0.67,5,1,3,0,1,4,4,12.0
2025,김성민,SSG,0.0,2,1,0,0,0,1.0,0.67,0,0,2,0,0,0,0,3.0
2025,신지환,SSG,0.0,1,0,0,0,0,,1.0,0,0,0,1,1,0,0,0.0
2025,조병현,SSG,1.6,69,5,4,30,0,0.556,67.33,42,5,18,0,79,13,12,0.89
2025,이로운,SSG,1.99,75,6,5,1,33,0.545,77.0,56,7,26,0,66,19,17,1.06
2025,노경은,SSG,2.14,77,3,6,3,35,0.333,80.0,60,2,25,3,68,22,19,1.06
2025,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171.67,121,13,51,9,245,53,43,1.0
2025,김택형,SSG,2.78,25,0,0,0,1,,22.67,19,0,10,3,14,7,7,1.28
2025,화이트,SSG,2.87,24,11,4,0,0,0.733,134.67,111,9,44,8,137,51,43,1.15
2025,김민,SSG,2.97,70,5,2,1,22,0.714,63.67,60,7,17,6,65,23,21,1.21
2025,박기호,SSG,3.0,18,0,0,0,2,,24.0,23,3,12,8,13,10,8,1.46
2025,박시후,SSG,3.27,52,6,2,0,3,0.75,52.33,45,5,29,5,34,24,19,1.41
2025,김건우,SSG,3.82,35,5,4,0,2,0.556,66.0,53,2,49,7,68,31,28,1.55
2025,최민준,SSG,3.97,40,2,2,0,1,0.5,65.67,72,6,24,3,44,34,29,1.46
2025,전영준,SSG,4.61,34,1,5,0,0,0.167,52.67,48,5,26,5,55,28,27,1.41
2025,한두솔,SSG,4.95,44,2,0,1,3,1.0,36.33,46,1,19,1,27,22,20,1.79
2025,김광현,SSG,5.0,28,10,10,0,0,0.5,144.0,164,13,50,4,138,86,80,1.49
2025,문승원,SSG,5.13,23,4,7,0,0,0.364,105.33,109,16,38,5,61,61,60,1.4
2025,송영진,SSG,5.83,21,2,5,0,0,0.286,63.33,77,10,31,3,40,45,41,1.71
2025,최현석,SSG,6.23,13,0,0,0,0,,17.33,21,5,6,2,11,13,12,1.56
2025,서진용,SSG,6.75,2,0,0,0,0,,1.33,1,0,3,0,0,1,1,3.0
2025,박종훈,SSG,7.11,5,0,2,0,0,0.0,19.0,15,4,18,5,10,17,15,1.74
2025,정동윤,SSG,8.31,12,0,0,0,0,,17.33,21,2,12,0,17,16,16,1.9
